onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
1.5643	0.5083	go	n/a	0.609	correct	left	male
4.0809	0.5083	go	n/a	0.585	correct	left	male
13.5891	0.5083	go	n/a	0.696	correct	right	female
16.5973	0.5084	go	n/a	0.751	correct	right	female
21.1056	0.5083	succesful_stop	0.2	n/a	n/a	right	male
24.6138	0.5084	go	n/a	0.569	correct	left	male
29.6221	0.5083	succesful_stop	0.25	n/a	n/a	right	female
33.1303	0.5084	go	n/a	0.986	correct	right	female
37.1386	0.5083	go	n/a	0.847	correct	right	female
40.6469	0.5083	go	n/a	0.75	correct	left	male
45.1551	0.5083	go	n/a	0.969	correct	left	male
49.6633	0.5084	go	n/a	0.575	correct	left	male
52.18	0.5083	succesful_stop	0.3	n/a	n/a	right	female
56.6799	0.5083	go	n/a	0.584	correct	left	male
60.6881	0.5083	go	n/a	0.565	correct	left	male
64.6964	0.5083	go	n/a	0.942	correct	left	male
68.213	0.5083	go	n/a	0.426	correct	left	male
73.7129	0.5083	go	n/a	0.395	incorrect	left	female
80.7294	0.5083	go	n/a	0.711	correct	left	male
84.246	0.5083	go	n/a	0.713	correct	left	male
88.2542	0.5084	go	n/a	0.864	correct	right	female
92.7541	0.5084	go	n/a	0.515	correct	right	female
97.2624	0.5083	go	n/a	0.552	correct	left	male
100.279	0.5083	go	n/a	0.473	correct	right	female
105.7789	0.5083	go	n/a	0.769	correct	right	female
108.7871	0.5084	unsuccesful_stop	0.35	0.702	correct	right	female
113.2954	0.5083	unsuccesful_stop	0.4	0.526	incorrect	right	male
117.8036	0.5084	go	n/a	0.69	correct	right	female
121.8119	0.5083	unsuccesful_stop	0.45	0.604	correct	right	female
125.3201	0.5084	go	n/a	0.608	correct	left	male
128.8284	0.5083	go	n/a	0.522	correct	right	female
132.8367	0.5083	go	n/a	0.452	incorrect	left	female
137.8449	0.5083	succesful_stop	0.5	n/a	n/a	right	male
141.8531	0.5084	go	n/a	0.643	correct	right	female
148.8697	0.5083	succesful_stop	0.55	n/a	n/a	right	female
157.3862	0.5083	go	n/a	0.993	correct	left	male
161.3944	0.5083	go	n/a	1.378	incorrect	right	male
165.4027	0.5083	go	n/a	0.879	correct	right	female
168.4193	0.5083	unsuccesful_stop	0.6	0.798	correct	right	female
172.4275	0.5084	unsuccesful_stop	0.65	0.829	correct	left	male
181.4357	0.5083	go	n/a	0.861	correct	left	male
185.9439	0.5084	go	n/a	0.92	correct	right	female
189.4522	0.5083	succesful_stop	0.7	n/a	n/a	right	female
193.4604	0.5084	unsuccesful_stop	0.75	0.876	correct	left	male
196.477	0.5084	go	n/a	n/a	miss	right	male
202.9852	0.5084	unsuccesful_stop	0.8	0.77	correct	right	female
206.9935	0.5083	go	n/a	1.204	correct	right	female
210.5101	0.5083	unsuccesful_stop	0.8	1.012	correct	left	male
216.01	0.5083	go	n/a	1.154	correct	left	male
219.0183	0.5083	go	n/a	0.929	correct	right	female
223.5265	0.5083	go	n/a	0.927	correct	left	male
226.5431	0.5083	succesful_stop	0.75	n/a	n/a	right	female
232.043	0.5083	go	n/a	0.973	correct	right	female
236.0513	0.5083	succesful_stop	0.75	n/a	n/a	right	female
239.5595	0.5083	succesful_stop	0.8	n/a	n/a	right	male
243.0678	0.5083	succesful_stop	0.85	n/a	n/a	right	male
248.076	0.5083	go	n/a	1.274	correct	right	female
251.0843	0.5083	go	n/a	1.245	correct	right	female
255.5925	0.5083	go	n/a	1.328	correct	right	female
258.6091	0.5084	unsuccesful_stop	0.9	0.931	correct	left	male
266.6256	0.5084	go	n/a	1.471	correct	right	female
271.6255	0.5084	go	n/a	1.143	correct	right	female
276.1338	0.5083	unsuccesful_stop	0.95	1.032	correct	right	female
283.6503	0.5083	go	n/a	1.696	correct	right	female
288.1585	0.5084	go	n/a	1.261	correct	right	female
291.6668	0.5083	succesful_stop	1.0	n/a	n/a	right	female
295.1751	0.5083	go	n/a	1.076	correct	left	male
299.6833	0.5083	go	n/a	1.439	correct	left	male
302.6999	0.5083	go	n/a	1.16	correct	right	female
307.1998	0.5083	go	n/a	0.962	correct	left	male
311.2081	0.5083	go	n/a	0.812	correct	right	female
316.2163	0.5083	go	n/a	1.11	correct	right	female
319.7246	0.5083	unsuccesful_stop	1.05	0.827	correct	left	male
324.2328	0.5083	unsuccesful_stop	1.1	0.969	correct	right	female
327.741	0.5084	succesful_stop	1.1	n/a	n/a	right	male
332.2493	0.5083	go	n/a	1.501	correct	right	female
335.2576	0.5083	go	n/a	0.95	correct	right	female
339.2658	0.5084	go	n/a	0.96	correct	right	female
344.2741	0.5083	go	n/a	1.079	correct	right	female
347.7823	0.5084	unsuccesful_stop	1.15	1.397	correct	right	female
351.7906	0.5083	go	n/a	1.211	correct	left	male
354.8072	0.5083	go	n/a	1.233	correct	left	male
359.8071	0.5083	unsuccesful_stop	1.15	0.999	correct	right	female
363.8153	0.5084	unsuccesful_stop	1.1	1.202	correct	left	male
367.8236	0.5083	go	n/a	1.217	correct	left	male
376.3401	0.5083	go	n/a	0.827	correct	right	female
378.8567	0.5083	go	n/a	0.919	correct	left	male
383.3566	0.5083	unsuccesful_stop	1.05	1.089	correct	left	male
387.3649	0.5083	go	n/a	0.985	correct	right	female
391.8731	0.5083	go	n/a	1.183	correct	right	female
395.8814	0.5083	go	n/a	1.173	correct	right	female
399.3896	0.5083	go	n/a	0.733	correct	right	female
404.3979	0.5083	go	n/a	1.221	correct	right	female
411.4144	0.5083	go	n/a	0.912	correct	left	male
415.9226	0.5083	go	n/a	1.047	correct	left	male
418.9392	0.5083	go	n/a	0.91	correct	right	female
423.4391	0.5084	go	n/a	0.894	correct	right	female
427.4474	0.5083	unsuccesful_stop	1.0	0.872	correct	right	female
432.4556	0.5083	unsuccesful_stop	0.95	0.929	correct	right	female
436.4639	0.5083	succesful_stop	0.9	n/a	n/a	right	female
