onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.5568	0.5084	go	n/a	0.534	correct	left	male
5.5651	0.5083	go	n/a	0.494	correct	left	male
9.5734	0.5083	unsuccesful_stop	0.2	0.276	correct	right	female
12.5817	0.5083	go	n/a	0.414	incorrect	left	female
17.5899	0.5084	unsuccesful_stop	0.2	0.343	incorrect	left	female
25.1065	0.5083	go	n/a	0.435	correct	left	male
29.1148	0.5083	succesful_stop	0.15	n/a	n/a	right	female
36.6313	0.5083	go	n/a	0.444	correct	right	female
41.6396	0.5083	go	n/a	0.51	correct	right	female
49.1561	0.5084	go	n/a	0.464	correct	left	male
52.6644	0.5084	go	n/a	0.449	correct	left	male
56.6727	0.5083	go	n/a	0.447	correct	right	female
61.181	0.5083	go	n/a	0.626	correct	left	male
65.1892	0.5084	go	n/a	0.404	correct	left	male
69.1975	0.5084	unsuccesful_stop	0.15	0.372	correct	right	female
73.2058	0.5083	go	n/a	0.469	correct	right	female
77.7141	0.5083	go	n/a	0.443	correct	right	female
80.2307	0.5083	go	n/a	0.49	correct	left	male
85.2306	0.5084	go	n/a	0.475	correct	right	female
89.2389	0.5083	succesful_stop	0.1	n/a	n/a	right	male
92.7472	0.5083	go	n/a	0.4	correct	left	male
97.2555	0.5083	go	n/a	0.413	correct	left	male
101.2637	0.5084	go	n/a	0.503	correct	left	male
104.772	0.5083	go	n/a	0.475	correct	right	female
109.2803	0.5083	go	n/a	0.527	correct	right	female
112.2969	0.5083	go	n/a	0.638	correct	left	male
117.2968	0.5084	go	n/a	0.357	correct	left	male
120.3135	0.5083	go	n/a	0.417	correct	right	female
124.8134	0.5083	go	n/a	0.287	incorrect	right	male
128.8217	0.5083	go	n/a	0.421	correct	left	male
133.8299	0.5084	go	n/a	0.511	correct	right	female
137.3382	0.5083	go	n/a	0.492	correct	left	male
140.8465	0.5083	go	n/a	0.419	correct	right	female
145.8548	0.5083	go	n/a	0.397	correct	right	female
148.3714	0.5083	unsuccesful_stop	0.1	0.447	correct	left	male
157.3796	0.5083	unsuccesful_stop	0.05	0.443	correct	left	male
161.3879	0.5083	go	n/a	0.509	correct	left	male
164.4045	0.5083	go	n/a	0.481	incorrect	right	male
169.9044	0.5084	go	n/a	0.423	correct	right	female
173.4127	0.5083	unsuccesful_stop	0.05	0.434	correct	right	female
177.921	0.5083	succesful_stop	0.05	n/a	n/a	right	female
184.9376	0.5083	go	n/a	0.549	correct	left	male
189.9458	0.5083	go	n/a	0.525	correct	left	male
193.9541	0.5083	go	n/a	0.445	correct	left	male
196.9624	0.5083	go	n/a	0.394	correct	left	male
200.9707	0.5083	go	n/a	0.842	correct	right	female
205.9789	0.5083	go	n/a	0.423	correct	right	female
208.4955	0.5084	go	n/a	0.856	correct	left	male
212.5038	0.5083	go	n/a	0.413	correct	left	male
218.0037	0.5084	unsuccesful_stop	0.05	0.356	correct	left	male
221.512	0.5084	succesful_stop	0.05	n/a	n/a	right	male
225.5203	0.5083	succesful_stop	0.05	n/a	n/a	right	male
229.5286	0.5083	succesful_stop	0.05	n/a	n/a	right	female
234.0369	0.5083	succesful_stop	0.05	n/a	n/a	right	male
238.0451	0.5084	go	n/a	0.483	correct	right	female
246.0617	0.5083	go	n/a	0.503	incorrect	right	male
249.07	0.5083	go	n/a	0.483	correct	left	male
252.5866	0.5083	go	n/a	0.439	correct	left	male
261.5948	0.5083	go	n/a	0.513	correct	right	female
266.1031	0.5083	unsuccesful_stop	0.1	0.491	correct	right	female
269.6113	0.5084	go	n/a	0.528	correct	right	female
274.1196	0.5083	succesful_stop	0.1	n/a	n/a	right	female
278.1279	0.5083	succesful_stop	0.15	n/a	n/a	right	female
280.6445	0.5083	succesful_stop	0.2	n/a	n/a	right	female
285.1445	0.5083	go	n/a	0.504	correct	right	female
289.1527	0.5084	go	n/a	0.454	correct	right	female
293.661	0.5083	go	n/a	0.579	correct	right	female
297.1693	0.5083	go	n/a	0.433	correct	left	male
300.6859	0.5083	unsuccesful_stop	0.25	0.566	correct	right	female
304.6942	0.5083	go	n/a	0.523	correct	left	male
309.6941	0.5083	go	n/a	0.451	correct	right	female
313.2024	0.5083	go	n/a	0.416	correct	right	female
317.7107	0.5083	unsuccesful_stop	0.3	0.445	correct	right	female
325.2272	0.5083	unsuccesful_stop	0.35	0.456	correct	left	male
329.2355	0.5083	go	n/a	0.461	correct	right	female
332.7521	0.5083	go	n/a	0.71	correct	right	female
337.252	0.5084	unsuccesful_stop	0.35	0.576	correct	right	female
342.2603	0.5083	succesful_stop	0.3	n/a	n/a	right	male
345.2686	0.5083	go	n/a	0.618	correct	right	female
350.2769	0.5083	go	n/a	0.59	incorrect	right	male
353.7851	0.5084	go	n/a	0.475	correct	left	male
357.7934	0.5083	go	n/a	0.588	correct	right	female
362.3017	0.5083	unsuccesful_stop	0.3	0.532	correct	left	male
365.81	0.5083	go	n/a	0.483	correct	left	male
369.3183	0.5083	go	n/a	0.497	correct	left	male
373.8265	0.5084	go	n/a	0.548	correct	left	male
376.8431	0.5084	unsuccesful_stop	0.25	0.642	correct	right	female
380.8514	0.5084	go	n/a	0.571	correct	right	female
384.8597	0.5083	go	n/a	0.479	correct	right	female
389.8596	0.5084	unsuccesful_stop	0.2	0.477	correct	left	male
394.3679	0.5083	succesful_stop	0.15	n/a	n/a	right	male
396.8845	0.5084	succesful_stop	0.1	n/a	n/a	right	male
406.3927	0.5084	go	n/a	0.535	correct	right	female
409.901	0.5083	go	n/a	0.461	correct	right	female
413.9093	0.5083	succesful_stop	0.05	n/a	n/a	right	male
416.9259	0.5083	go	n/a	0.516	correct	left	male
422.4258	0.5084	go	n/a	0.643	correct	right	female
425.4341	0.5083	go	n/a	0.615	correct	left	male
428.9507	0.5084	succesful_stop	0.05	n/a	n/a	right	male
436.9673	0.5083	go	n/a	0.586	correct	right	female
