onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.5593	0.5083	go	n/a	1.051	incorrect	left	female
4.0759	0.5083	unsuccesful_stop	0.2	1.04	correct	right	female
9.0758	0.5083	go	n/a	0.76	correct	left	male
12.0924	0.5083	succesful_stop	0.2	n/a	n/a	right	female
17.0923	0.5083	go	n/a	1.225	incorrect	left	female
20.6005	0.5083	go	n/a	0.706	correct	left	male
24.1171	0.5083	unsuccesful_stop	0.25	0.918	correct	left	male
28.1253	0.5084	succesful_stop	0.25	n/a	n/a	right	female
33.1252	0.5083	go	n/a	0.87	correct	left	male
36.1418	0.5083	go	n/a	0.938	correct	right	female
41.1417	0.5083	go	n/a	1.008	correct	right	female
45.1499	0.5084	go	n/a	0.891	correct	right	female
49.6582	0.5083	go	n/a	0.927	correct	right	female
52.6664	0.5084	go	n/a	0.809	correct	left	male
56.6747	0.5083	go	n/a	0.749	correct	left	male
60.6829	0.5083	go	n/a	0.691	correct	right	female
65.6911	0.5084	succesful_stop	0.3	n/a	n/a	right	male
69.1994	0.5083	go	n/a	0.957	correct	left	male
72.216	0.5083	go	n/a	0.916	correct	right	female
77.2159	0.5083	succesful_stop	0.35	n/a	n/a	right	female
84.7324	0.5083	succesful_stop	0.4	n/a	n/a	right	male
88.7406	0.5083	succesful_stop	0.45	n/a	n/a	right	male
93.2488	0.5084	go	n/a	0.928	correct	left	male
97.7571	0.5083	succesful_stop	0.5	n/a	n/a	right	male
100.2737	0.5083	go	n/a	0.804	correct	right	female
104.7736	0.5083	go	n/a	0.945	correct	right	female
109.7818	0.5083	succesful_stop	0.55	n/a	n/a	right	male
113.79	0.5084	go	n/a	0.952	correct	right	female
116.3066	0.5084	go	n/a	1.037	correct	right	female
121.3065	0.5083	go	n/a	0.917	correct	left	male
125.3148	0.5083	unsuccesful_stop	0.6	0.817	correct	right	female
129.823	0.5083	go	n/a	1.039	correct	left	male
132.3396	0.5083	succesful_stop	0.65	n/a	n/a	right	male
137.3395	0.5083	succesful_stop	0.7	n/a	n/a	right	male
140.8477	0.5084	go	n/a	1.008	correct	left	male
145.856	0.5083	go	n/a	1.056	correct	right	female
149.8642	0.5083	go	n/a	0.932	correct	left	male
152.8725	0.5083	go	n/a	1.071	correct	left	male
157.3807	0.5083	go	n/a	0.953	correct	right	female
160.3973	0.5083	succesful_stop	0.75	n/a	n/a	right	male
169.4054	0.5083	succesful_stop	0.8	n/a	n/a	right	male
173.9136	0.5084	go	n/a	1.181	correct	right	female
176.9219	0.5083	go	n/a	1.26	correct	left	male
180.4385	0.5083	go	n/a	0.913	correct	right	female
184.9384	0.5083	go	n/a	0.985	correct	right	female
189.4466	0.5083	go	n/a	1.031	correct	left	male
192.4632	0.5083	go	n/a	1.24	correct	right	female
197.4631	0.5083	go	n/a	1.042	correct	right	female
201.4713	0.5084	go	n/a	1.54	correct	right	female
205.4796	0.5083	go	n/a	1.152	correct	right	female
209.9878	0.5083	go	n/a	0.89	correct	left	male
217.5043	0.5083	go	n/a	0.869	correct	left	male
221.5125	0.5084	go	n/a	0.967	correct	left	male
225.0208	0.5083	succesful_stop	0.85	n/a	n/a	right	female
229.029	0.5084	go	n/a	1.106	correct	left	male
233.5373	0.5083	go	n/a	1.255	correct	left	male
237.5455	0.5083	go	n/a	0.943	correct	left	male
241.0538	0.5083	go	n/a	0.902	correct	right	female
244.5704	0.5083	go	n/a	0.891	correct	left	male
249.0702	0.5084	go	n/a	1.595	correct	right	female
253.0785	0.5083	unsuccesful_stop	0.9	1.032	correct	right	female
257.0867	0.5083	go	n/a	0.909	correct	left	male
262.0949	0.5084	go	n/a	1.106	correct	right	female
265.6032	0.5083	go	n/a	1.102	correct	left	male
269.1114	0.5084	go	n/a	1.031	correct	left	male
