onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
1.0508	0.5083	go	n/a	0.745	correct	left	male
4.0674	0.5083	go	n/a	0.481	correct	right	female
9.0672	0.5084	succesful_stop	0.2	n/a	n/a	right	male
13.5754	0.5083	succesful_stop	0.25	n/a	n/a	right	female
16.5837	0.5083	go	n/a	0.469	correct	left	male
20.1002	0.5084	go	n/a	0.715	correct	right	female
25.6001	0.5083	unsuccesful_stop	0.3	0.467	correct	left	male
28.1167	0.5083	succesful_stop	0.35	n/a	n/a	right	male
37.6247	0.5084	succesful_stop	0.4	n/a	n/a	right	female
41.633	0.5083	succesful_stop	0.45	n/a	n/a	right	male
45.1412	0.5083	go	n/a	0.701	correct	left	male
48.6494	0.5083	go	n/a	0.714	correct	left	male
52.6576	0.5083	go	n/a	0.62	correct	left	male
57.6658	0.5083	go	n/a	0.575	correct	right	female
60.6741	0.5083	go	n/a	0.566	correct	left	male
64.1906	0.5083	go	n/a	0.603	correct	right	female
68.6905	0.5083	go	n/a	0.541	correct	left	male
72.2071	0.5083	go	n/a	0.543	correct	left	male
77.7069	0.5083	go	n/a	0.567	correct	left	male
81.2151	0.5083	go	n/a	0.609	correct	left	male
85.7233	0.5083	go	n/a	0.551	correct	right	female
92.7398	0.5083	go	n/a	0.452	correct	left	male
96.748	0.5083	unsuccesful_stop	0.5	0.446	incorrect	left	female
100.7562	0.5083	unsuccesful_stop	0.55	0.456	correct	left	male
104.7644	0.5084	go	n/a	0.78	correct	left	male
108.281	0.5083	go	n/a	0.497	correct	right	female
113.7808	0.5084	unsuccesful_stop	0.6	1.043	correct	right	female
117.7891	0.5083	go	n/a	0.824	correct	left	male
121.7973	0.5083	go	n/a	0.88	incorrect	left	female
124.8055	0.5083	go	n/a	0.52	correct	right	female
128.3221	0.5083	go	n/a	0.562	correct	left	male
132.822	0.5083	go	n/a	0.598	incorrect	left	female
137.3302	0.5083	go	n/a	1.171	correct	right	female
141.3384	0.5083	go	n/a	0.585	correct	left	male
145.3466	0.5083	unsuccesful_stop	0.65	0.569	correct	left	male
148.3632	0.5083	go	n/a	0.676	correct	left	male
153.863	0.5083	unsuccesful_stop	0.7	0.689	correct	left	male
157.8712	0.5083	succesful_stop	0.7	n/a	n/a	right	female
161.3795	0.5083	go	n/a	0.597	correct	left	male
164.8877	0.5083	go	n/a	0.512	correct	left	male
168.8959	0.5083	go	n/a	0.831	correct	right	female
173.9041	0.5083	go	n/a	0.545	correct	left	male
177.9123	0.5083	go	n/a	0.327	correct	left	male
181.4205	0.5084	go	n/a	0.491	correct	left	male
184.4371	0.5083	unsuccesful_stop	0.75	0.567	correct	right	female
188.937	0.5083	go	n/a	0.621	correct	right	female
193.9452	0.5083	go	n/a	0.805	correct	left	male
196.4618	0.5083	unsuccesful_stop	0.75	0.506	correct	right	female
201.9616	0.5083	unsuccesful_stop	0.7	0.633	correct	right	female
