onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.0505	0.5083	succesful_stop	0.2	n/a	n/a	right	female
4.5503	0.5084	go	n/a	0.746	correct	right	female
8.0669	0.5083	go	n/a	0.904	correct	left	male
12.5668	0.5083	succesful_stop	0.25	n/a	n/a	right	female
16.0833	0.5083	go	n/a	0.701	correct	right	female
21.0831	0.5084	unsuccesful_stop	0.3	1.423	incorrect	left	female
25.0913	0.5084	go	n/a	0.927	correct	left	male
28.5996	0.5083	succesful_stop	0.35	n/a	n/a	right	female
32.6078	0.5083	succesful_stop	0.4	n/a	n/a	right	male
40.6242	0.5083	go	n/a	0.918	correct	right	female
45.1324	0.5083	go	n/a	1.481	correct	right	female
48.1489	0.5084	succesful_stop	0.45	n/a	n/a	right	male
52.6488	0.5083	go	n/a	0.711	correct	right	female
56.657	0.5083	unsuccesful_stop	0.5	1.052	correct	right	female
61.6652	0.5083	succesful_stop	0.55	n/a	n/a	right	female
65.6734	0.5083	go	n/a	0.922	correct	left	male
68.1899	0.5084	succesful_stop	0.6	n/a	n/a	right	male
73.1898	0.5083	go	n/a	0.843	correct	right	female
76.2064	0.5083	succesful_stop	0.65	n/a	n/a	right	female
80.2146	0.5083	go	n/a	0.887	correct	right	female
84.7144	0.5083	go	n/a	0.854	correct	right	female
89.2226	0.5083	unsuccesful_stop	0.7	0.833	correct	right	female
92.2392	0.5083	go	n/a	0.749	correct	left	male
101.7472	0.5083	succesful_stop	0.75	n/a	n/a	right	male
104.7554	0.5084	go	n/a	0.802	correct	right	female
112.2802	0.5083	go	n/a	0.913	correct	right	female
117.28	0.5083	unsuccesful_stop	0.8	0.849	correct	left	male
121.2882	0.5083	go	n/a	1.414	correct	right	female
124.3048	0.5083	go	n/a	1.162	correct	right	female
129.8046	0.5083	unsuccesful_stop	0.85	0.935	correct	left	male
133.8128	0.5083	unsuccesful_stop	0.9	1.047	correct	right	female
137.821	0.5083	go	n/a	0.962	correct	left	male
141.8292	0.5084	unsuccesful_stop	0.95	1.133	correct	right	female
144.8375	0.5083	go	n/a	1.194	correct	left	male
148.8457	0.5083	go	n/a	1.472	correct	left	male
153.8538	0.5084	go	n/a	1.053	incorrect	left	female
156.3704	0.5083	go	n/a	0.984	correct	right	female
160.3786	0.5084	go	n/a	1.139	correct	right	female
165.3785	0.5083	go	n/a	0.891	correct	right	female
169.8867	0.5083	go	n/a	0.951	correct	left	male
172.4032	0.5084	go	n/a	0.716	correct	left	male
177.4031	0.5083	go	n/a	0.776	correct	right	female
185.4195	0.5083	go	n/a	0.773	correct	right	female
189.9277	0.5083	go	n/a	0.732	correct	right	female
193.9359	0.5083	go	n/a	0.701	correct	left	male
197.9441	0.5083	unsuccesful_stop	1.0	0.761	correct	left	male
201.9523	0.5083	unsuccesful_stop	1.05	0.878	correct	left	male
205.9605	0.5083	unsuccesful_stop	1.1	0.899	correct	right	female
209.9687	0.5083	go	n/a	1.114	correct	right	female
212.4853	0.5083	unsuccesful_stop	1.1	1.224	correct	left	male
217.4851	0.5083	go	n/a	1.287	correct	left	male
221.9933	0.5083	go	n/a	1.4	correct	left	male
224.5099	0.5083	go	n/a	1.11	correct	right	female
230.0097	0.5083	go	n/a	1.37	correct	left	male
237.5261	0.5084	go	n/a	0.905	correct	right	female
241.5343	0.5084	go	n/a	1.117	correct	right	female
245.5425	0.5084	go	n/a	1.205	correct	left	male
253.5589	0.5084	go	n/a	1.158	correct	left	male
257.0672	0.5083	go	n/a	0.773	correct	right	female
260.5837	0.5083	go	n/a	0.727	correct	left	male
266.0835	0.5084	go	n/a	0.737	correct	left	male
269.0918	0.5083	go	n/a	0.593	correct	left	male
272.6083	0.5083	go	n/a	0.564	correct	left	male
280.6247	0.5084	unsuccesful_stop	1.05	0.681	correct	left	male
286.1246	0.5083	go	n/a	0.772	correct	left	male
288.6411	0.5084	go	n/a	1.196	correct	left	male
292.6493	0.5084	go	n/a	0.992	correct	right	female
297.1492	0.5083	go	n/a	1.184	correct	right	female
302.1574	0.5083	go	n/a	1.154	correct	left	male
304.674	0.5083	go	n/a	1.285	correct	right	female
309.6738	0.5083	go	n/a	1.461	correct	left	male
313.182	0.5083	unsuccesful_stop	1.0	1.001	correct	left	male
317.1902	0.5083	unsuccesful_stop	0.95	0.832	correct	left	male
321.6984	0.5083	succesful_stop	0.9	n/a	n/a	right	female
325.2066	0.5083	succesful_stop	0.85	n/a	n/a	right	male
328.7232	0.5083	succesful_stop	0.8	n/a	n/a	right	female
332.7314	0.5083	go	n/a	1.485	correct	right	female
336.7396	0.5083	succesful_stop	0.75	n/a	n/a	right	male
342.2394	0.5083	go	n/a	1.194	correct	right	female
344.756	0.5083	go	n/a	1.198	correct	left	male
350.2558	0.5083	go	n/a	1.264	correct	right	female
358.2722	0.5083	go	n/a	1.216	correct	right	female
362.2804	0.5083	go	n/a	1.309	correct	right	female
368.8052	0.5083	go	n/a	1.24	correct	right	female
372.8134	0.5083	go	n/a	1.425	correct	right	female
378.3132	0.5084	go	n/a	1.216	correct	right	female
381.8215	0.5083	unsuccesful_stop	0.75	0.932	correct	right	female
384.838	0.5083	go	n/a	1.104	correct	right	female
389.3379	0.5083	succesful_stop	0.7	n/a	n/a	right	female
393.8461	0.5083	go	n/a	1.063	correct	right	female
397.8543	0.5083	go	n/a	0.828	correct	left	male
401.3625	0.5083	go	n/a	0.798	correct	left	male
404.879	0.5084	go	n/a	0.944	correct	right	female
