onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.5761	0.5083	go	n/a	1.292	correct	right	female
5.5842	0.5083	go	n/a	1.165	correct	left	male
8.1008	0.5083	succesful_stop	0.2	n/a	n/a	right	male
13.1006	0.5083	go	n/a	0.738	correct	left	male
20.617	0.5084	go	n/a	0.826	correct	right	female
24.6252	0.5083	succesful_stop	0.25	n/a	n/a	right	male
28.1418	0.5083	go	n/a	0.955	correct	left	male
32.15	0.5083	go	n/a	0.848	correct	right	female
36.1582	0.5083	go	n/a	0.836	correct	right	female
40.658	0.5083	go	n/a	1.289	correct	right	female
44.1745	0.5084	go	n/a	0.815	correct	right	female
49.1744	0.5083	go	n/a	0.714	correct	left	male
52.1909	0.5083	go	n/a	0.714	correct	right	female
57.6907	0.5084	go	n/a	0.819	correct	left	male
61.6989	0.5083	succesful_stop	0.3	n/a	n/a	right	male
64.2155	0.5083	go	n/a	0.853	correct	left	male
68.7153	0.5084	go	n/a	0.816	correct	left	male
73.2235	0.5083	succesful_stop	0.35	n/a	n/a	right	female
76.7317	0.5084	succesful_stop	0.4	n/a	n/a	right	female
80.2483	0.5083	go	n/a	1.063	correct	left	male
84.7481	0.5083	succesful_stop	0.45	n/a	n/a	right	male
88.7563	0.5083	go	n/a	0.841	correct	left	male
92.2729	0.5083	go	n/a	1.028	correct	left	male
97.7727	0.5083	unsuccesful_stop	0.5	0.696	correct	left	male
101.2809	0.5083	go	n/a	0.835	correct	left	male
105.2891	0.5083	unsuccesful_stop	0.55	0.722	correct	right	female
108.3056	0.5083	go	n/a	1.261	correct	left	male
117.8136	0.5083	go	n/a	0.975	correct	right	female
120.3302	0.5083	go	n/a	0.823	correct	left	male
125.83	0.5083	succesful_stop	0.6	n/a	n/a	right	male
129.3382	0.5083	unsuccesful_stop	0.65	0.784	correct	left	male
133.3464	0.5083	go	n/a	0.941	correct	right	female
136.363	0.5083	go	n/a	1.006	correct	left	male
141.8628	0.5083	unsuccesful_stop	0.7	0.799	correct	right	female
145.871	0.5083	go	n/a	1.13	correct	left	male
149.3792	0.5083	succesful_stop	0.75	n/a	n/a	right	male
153.3874	0.5083	go	n/a	1.305	correct	left	male
157.3956	0.5083	go	n/a	1.109	correct	right	female
165.9119	0.5083	go	n/a	1.148	correct	right	female
169.9201	0.5083	go	n/a	1.23	correct	left	male
172.4367	0.5083	go	n/a	1.302	correct	left	male
177.4365	0.5083	go	n/a	1.171	correct	right	female
181.9447	0.5083	succesful_stop	0.8	n/a	n/a	right	male
184.9529	0.5083	go	n/a	1.173	correct	left	male
189.4611	0.5083	go	n/a	1.049	correct	left	male
192.4777	0.5083	unsuccesful_stop	0.85	0.933	correct	right	female
196.9775	0.5083	go	n/a	1.109	correct	right	female
200.9857	0.5083	succesful_stop	0.9	n/a	n/a	right	female
205.4939	0.5083	succesful_stop	0.95	n/a	n/a	right	male
210.0021	0.5083	succesful_stop	1.0	n/a	n/a	right	male
214.0102	0.5084	go	n/a	1.308	correct	right	female
221.5266	0.5084	go	n/a	1.105	correct	right	female
225.0349	0.5083	unsuccesful_stop	1.05	1.171	correct	left	male
228.5514	0.5083	go	n/a	1.621	correct	right	female
234.0512	0.5083	go	n/a	1.245	correct	left	male
237.0594	0.5084	succesful_stop	1.1	n/a	n/a	right	female
242.0676	0.5083	go	n/a	1.428	correct	right	female
244.5842	0.5083	unsuccesful_stop	1.15	1.213	correct	left	male
249.584	0.5083	go	n/a	2.068	correct	right	female
253.5922	0.5083	succesful_stop	1.2	n/a	n/a	right	male
256.6087	0.5084	go	n/a	1.756	correct	left	male
