onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
1.5565	0.5083	go	n/a	0.943	correct	left	male
4.5647	0.5083	go	n/a	0.669	correct	right	female
8.5729	0.5083	go	n/a	0.906	correct	right	female
13.0811	0.5083	succesful_stop	0.2	n/a	n/a	right	female
17.5892	0.5084	go	n/a	0.868	correct	right	female
21.0975	0.5083	succesful_stop	0.25	n/a	n/a	right	female
24.114	0.5083	go	n/a	0.593	correct	left	male
28.6139	0.5083	go	n/a	0.855	correct	right	female
33.122	0.5083	go	n/a	0.863	correct	left	male
36.1386	0.5083	go	n/a	0.933	correct	left	male
41.6384	0.5083	unsuccesful_stop	0.3	0.668	correct	left	male
45.6466	0.5083	go	n/a	0.856	correct	right	female
49.6548	0.5083	go	n/a	1.353	correct	right	female
53.163	0.5083	succesful_stop	0.35	n/a	n/a	right	female
56.1796	0.5083	succesful_stop	0.4	n/a	n/a	right	female
60.6794	0.5083	go	n/a	0.948	correct	left	male
65.1876	0.5083	go	n/a	1.27	correct	right	female
68.6958	0.5083	go	n/a	1.239	correct	right	female
73.204	0.5083	go	n/a	1.257	correct	left	male
77.7121	0.5083	succesful_stop	0.45	n/a	n/a	right	female
80.2287	0.5083	go	n/a	0.999	correct	right	female
84.2369	0.5083	go	n/a	1.2	correct	left	male
88.2451	0.5083	go	n/a	1.264	correct	left	male
92.2533	0.5083	go	n/a	1.151	incorrect	left	female
97.7531	0.5083	go	n/a	0.988	correct	left	male
101.7613	0.5083	go	n/a	0.956	correct	right	female
109.2777	0.5083	go	n/a	1.065	correct	right	female
113.2859	0.5083	go	n/a	1.131	correct	right	female
117.2941	0.5083	go	n/a	1.094	correct	right	female
121.8022	0.5084	succesful_stop	0.5	n/a	n/a	right	male
124.8105	0.5083	succesful_stop	0.55	n/a	n/a	right	female
128.8187	0.5083	succesful_stop	0.6	n/a	n/a	right	female
133.8268	0.5083	go	n/a	1.176	incorrect	left	female
137.335	0.5083	unsuccesful_stop	0.65	0.885	correct	left	male
141.3432	0.5083	go	n/a	1.036	correct	left	male
145.8514	0.5083	succesful_stop	0.7	n/a	n/a	right	female
149.3596	0.5083	succesful_stop	0.75	n/a	n/a	right	male
152.8678	0.5083	go	n/a	1.396	incorrect	left	female
156.876	0.5083	go	n/a	1.221	correct	right	female
164.8924	0.5083	succesful_stop	0.8	n/a	n/a	right	male
169.4006	0.5083	go	n/a	1.15	correct	left	male
173.4088	0.5083	go	n/a	1.394	correct	right	female
176.4253	0.5083	go	n/a	1.208	correct	right	female
180.9252	0.5083	go	n/a	1.117	incorrect	left	female
184.4417	0.5083	unsuccesful_stop	0.85	0.632	correct	left	male
189.9415	0.5083	go	n/a	1.068	correct	left	male
193.9497	0.5083	go	n/a	1.449	correct	left	male
197.4579	0.5083	go	n/a	1.05	correct	left	male
204.9743	0.5083	unsuccesful_stop	0.9	1.009	correct	left	male
208.9825	0.5083	succesful_stop	0.95	n/a	n/a	right	male
212.4991	0.5083	go	n/a	1.621	correct	left	male
221.0071	0.5083	succesful_stop	1.0	n/a	n/a	right	female
225.0153	0.5083	succesful_stop	1.05	n/a	n/a	right	female
229.0235	0.5083	go	n/a	1.588	correct	left	male
238.0398	0.5083	go	n/a	1.414	correct	left	male
240.5564	0.5083	unsuccesful_stop	1.1	0.982	correct	right	female
245.5562	0.5083	unsuccesful_stop	1.15	1.272	correct	right	female
249.5644	0.5083	go	n/a	1.743	correct	left	male
253.5726	0.5083	unsuccesful_stop	1.2	1.255	correct	right	female
256.5892	0.5083	succesful_stop	1.25	n/a	n/a	right	male
261.589	0.5083	succesful_stop	1.3	n/a	n/a	right	male
266.0972	0.5083	go	n/a	1.293	correct	left	male
268.6138	0.5083	succesful_stop	1.35	n/a	n/a	right	female
273.6136	0.5083	go	n/a	1.621	correct	right	female
276.6301	0.5084	go	n/a	1.667	correct	left	male
285.1382	0.5083	succesful_stop	1.4	n/a	n/a	right	male
292.6629	0.5083	go	n/a	2.889	correct	right	female
297.6627	0.5083	go	n/a	1.954	correct	left	male
301.1709	0.5084	go	n/a	1.736	correct	right	female
305.6791	0.5083	go	n/a	1.507	correct	left	male
309.6873	0.5083	go	n/a	1.465	correct	right	female
312.7039	0.5083	go	n/a	1.436	correct	left	male
318.2037	0.5083	go	n/a	1.48	correct	left	male
321.7119	0.5083	go	n/a	1.705	correct	left	male
324.7284	0.5084	go	n/a	1.51	correct	left	male
329.2283	0.5083	unsuccesful_stop	1.45	1.443	correct	right	female
332.7448	0.5083	go	n/a	1.943	correct	left	male
337.7446	0.5084	succesful_stop	1.5	n/a	n/a	right	male
340.7612	0.5083	go	n/a	1.497	correct	left	male
345.761	0.5084	go	n/a	1.448	correct	right	female
348.7776	0.5083	succesful_stop	1.55	n/a	n/a	right	male
356.794	0.5083	go	n/a	1.818	correct	right	female
360.8022	0.5083	go	n/a	2.118	correct	right	female
366.302	0.5083	go	n/a	1.571	correct	left	male
368.8186	0.5083	go	n/a	1.639	correct	right	female
373.3184	0.5083	go	n/a	1.75	correct	left	male
376.8349	0.5084	unsuccesful_stop	1.6	1.479	correct	left	male
381.3348	0.5083	go	n/a	1.612	correct	right	female
385.343	0.5083	go	n/a	2.092	correct	left	male
389.3512	0.5083	go	n/a	2.331	correct	left	male
396.8759	0.5083	go	n/a	1.97	correct	left	male
402.3757	0.5083	unsuccesful_stop	1.65	1.704	correct	right	female
404.8923	0.5083	go	n/a	2.234	incorrect	left	female
410.3921	0.5083	go	n/a	1.512	correct	right	female
414.4003	0.5083	go	n/a	1.448	correct	right	female
422.4167	0.5083	unsuccesful_stop	1.7	1.935	correct	left	male
425.4249	0.5083	go	n/a	1.39	incorrect	left	female
429.4331	0.5083	go	n/a	2.021	correct	right	female
436.9578	0.5083	go	n/a	2.156	correct	left	male
