onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.5645	0.5083	go	n/a	0.999	correct	right	female
4.081	0.5084	succesful_stop	0.2	n/a	n/a	right	female
9.0809	0.5083	go	n/a	0.572	correct	left	male
12.0975	0.5083	succesful_stop	0.25	n/a	n/a	right	female
17.0974	0.5083	go	n/a	0.837	correct	right	female
20.6056	0.5083	go	n/a	0.852	correct	left	male
24.1222	0.5083	succesful_stop	0.3	n/a	n/a	right	male
28.1304	0.5083	succesful_stop	0.35	n/a	n/a	right	female
33.1303	0.5083	go	n/a	1.163	incorrect	right	male
36.1469	0.5083	go	n/a	1.243	correct	right	female
41.1467	0.5084	go	n/a	0.943	correct	right	female
45.155	0.5083	go	n/a	0.907	correct	right	female
49.6632	0.5083	go	n/a	0.987	correct	right	female
52.6714	0.5084	go	n/a	0.699	correct	left	male
56.6797	0.5083	go	n/a	0.781	correct	left	male
60.6879	0.5083	go	n/a	0.853	correct	right	female
65.6961	0.5083	succesful_stop	0.4	n/a	n/a	right	male
69.2043	0.5084	go	n/a	0.813	correct	left	male
72.2209	0.5084	go	n/a	1.021	correct	right	female
77.2208	0.5083	succesful_stop	0.45	n/a	n/a	right	female
84.7373	0.5083	succesful_stop	0.5	n/a	n/a	right	male
88.7455	0.5083	succesful_stop	0.55	n/a	n/a	right	male
93.2537	0.5083	go	n/a	1.13	correct	left	male
97.7619	0.5084	succesful_stop	0.6	n/a	n/a	right	male
100.2785	0.5084	go	n/a	0.834	correct	right	female
104.7784	0.5083	go	n/a	0.766	correct	right	female
109.7866	0.5083	unsuccesful_stop	0.65	0.837	correct	left	male
113.7949	0.5083	go	n/a	0.927	correct	right	female
116.3114	0.5084	go	n/a	1.034	correct	right	female
121.3113	0.5083	go	n/a	0.969	correct	left	male
125.3195	0.5084	unsuccesful_stop	0.7	0.885	correct	right	female
129.8278	0.5083	go	n/a	1.006	correct	left	male
132.3444	0.5083	unsuccesful_stop	0.75	0.937	correct	left	male
137.3442	0.5084	unsuccesful_stop	0.8	0.945	correct	left	male
140.8525	0.5083	go	n/a	1.165	correct	left	male
145.8607	0.5083	go	n/a	0.959	correct	right	female
149.8689	0.5083	go	n/a	0.916	correct	left	male
152.8772	0.5083	go	n/a	0.938	correct	left	male
157.3854	0.5083	go	n/a	0.854	correct	right	female
160.402	0.5083	unsuccesful_stop	0.85	0.942	correct	left	male
169.4101	0.5083	succesful_stop	0.9	n/a	n/a	right	male
173.9183	0.5083	go	n/a	1.212	correct	right	female
176.9265	0.5084	go	n/a	1.162	correct	left	male
180.4431	0.5083	go	n/a	1.466	correct	right	female
184.943	0.5083	go	n/a	1.057	correct	right	female
189.4512	0.5083	go	n/a	1.154	correct	left	male
192.4678	0.5083	go	n/a	1.07	correct	right	female
197.4677	0.5083	go	n/a	1.295	correct	right	female
201.4759	0.5083	go	n/a	0.786	correct	right	female
205.4841	0.5083	go	n/a	1.127	correct	right	female
209.9923	0.5084	go	n/a	0.998	correct	left	male
217.5088	0.5083	go	n/a	1.171	correct	left	male
221.517	0.5084	go	n/a	0.982	correct	left	male
225.0253	0.5083	unsuccesful_stop	0.95	0.98	correct	right	female
229.0335	0.5083	go	n/a	1.321	correct	left	male
233.5417	0.5083	go	n/a	1.57	incorrect	right	male
