onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.0339	0.5083	go	n/a	1.059	correct	right	female
4.0421	0.5084	succesful_stop	0.2	n/a	n/a	right	female
8.0504	0.5083	succesful_stop	0.25	n/a	n/a	right	female
13.0502	0.5083	go	n/a	0.803	correct	left	male
17.5584	0.5083	go	n/a	0.932	correct	right	female
21.0667	0.5083	go	n/a	1.226	incorrect	left	female
24.5749	0.5083	go	n/a	1.1	correct	left	male
29.0831	0.5083	go	n/a	0.906	correct	right	female
32.5913	0.5083	go	n/a	1.213	correct	right	female
41.6077	0.5083	succesful_stop	0.3	n/a	n/a	right	female
44.1243	0.5083	succesful_stop	0.35	n/a	n/a	right	male
49.1242	0.5083	succesful_stop	0.4	n/a	n/a	right	female
52.1408	0.5083	go	n/a	0.837	correct	left	male
57.6406	0.5083	go	n/a	0.828	correct	left	male
60.6488	0.5084	succesful_stop	0.45	n/a	n/a	right	female
65.657	0.5083	go	n/a	1.404	correct	left	male
69.6652	0.5084	succesful_stop	0.5	n/a	n/a	right	male
72.1818	0.5084	go	n/a	1.102	correct	right	female
76.1901	0.5083	succesful_stop	0.55	n/a	n/a	right	male
84.2065	0.5083	go	n/a	0.898	correct	left	male
88.2147	0.5083	go	n/a	1.052	correct	left	male
96.7228	0.5083	go	n/a	1.204	correct	right	female
101.731	0.5083	go	n/a	0.932	correct	left	male
109.2474	0.5083	go	n/a	0.742	correct	left	male
112.7557	0.5083	unsuccesful_stop	0.6	0.792	correct	right	female
116.7639	0.5083	go	n/a	1.058	correct	left	male
121.2721	0.5083	go	n/a	1.552	correct	right	female
125.2803	0.5083	go	n/a	1.051	correct	left	male
129.7885	0.5083	go	n/a	0.882	correct	right	female
136.3133	0.5083	go	n/a	2.95	incorrect	left	female
141.3132	0.5083	go	n/a	0.771	correct	left	male
144.3297	0.5084	go	n/a	0.937	correct	left	male
149.3296	0.5083	go	n/a	1.014	correct	left	male
152.8378	0.5084	succesful_stop	0.65	n/a	n/a	right	female
157.346	0.5084	succesful_stop	0.7	n/a	n/a	right	male
161.3543	0.5083	unsuccesful_stop	0.75	0.854	correct	right	female
164.3708	0.5084	succesful_stop	0.8	n/a	n/a	right	male
169.8707	0.5083	go	n/a	0.905	correct	right	female
172.3873	0.5083	go	n/a	1.007	correct	right	female
177.3871	0.5083	go	n/a	1.139	correct	right	female
181.3953	0.5084	go	n/a	1.438	correct	left	male
184.9036	0.5083	go	n/a	n/a	miss	right	male
190.4284	0.5083	go	n/a	0.686	correct	left	male
195.4283	0.5083	go	n/a	0.717	correct	left	male
198.4448	0.5084	go	n/a	0.763	correct	right	female
202.9447	0.5083	unsuccesful_stop	0.85	0.977	correct	right	female
207.9529	0.5083	go	n/a	1.32	correct	right	female
214.9694	0.5083	go	n/a	0.956	correct	right	female
219.9776	0.5083	go	n/a	1.215	correct	left	male
222.4941	0.5084	go	n/a	0.867	correct	left	male
227.994	0.5083	go	n/a	1.937	correct	right	female
231.5022	0.5083	go	n/a	1.526	correct	left	male
235.5104	0.5084	go	n/a	0.892	correct	right	female
239.5186	0.5084	succesful_stop	0.9	n/a	n/a	right	female
244.0269	0.5083	go	n/a	0.641	correct	left	male
248.0351	0.5083	go	n/a	n/a	miss	right	female
253.0516	0.5083	unsuccesful_stop	0.95	0.682	correct	left	male
260.5764	0.5083	go	n/a	0.932	correct	right	female
264.5846	0.5083	unsuccesful_stop	1.0	1.111	correct	left	male
268.5928	0.5083	go	n/a	1.018	correct	left	male
273.5927	0.5083	go	n/a	1.381	correct	right	female
278.1009	0.5083	go	n/a	1.15	correct	right	female
281.6091	0.5083	succesful_stop	1.05	n/a	n/a	right	male
285.1173	0.5083	unsuccesful_stop	1.1	0.904	correct	left	male
289.6255	0.5083	go	n/a	1.379	correct	left	male
294.1337	0.5083	succesful_stop	1.15	n/a	n/a	right	female
297.142	0.5083	go	n/a	1.655	correct	right	female
301.1502	0.5083	go	n/a	n/a	miss	right	female
308.1667	0.5083	go	n/a	0.774	correct	left	male
312.1749	0.5083	succesful_stop	1.2	n/a	n/a	right	female
315.6831	0.5083	go	n/a	1.697	correct	left	male
319.1913	0.5084	go	n/a	n/a	miss	right	male
325.7078	0.5083	go	n/a	1.49	correct	right	female
329.716	0.5083	succesful_stop	1.25	n/a	n/a	right	male
334.2242	0.5084	go	n/a	1.277	correct	right	female
338.2324	0.5084	unsuccesful_stop	1.3	1.412	correct	left	male
341.7407	0.5083	go	n/a	2.357	correct	right	female
346.2489	0.5083	succesful_stop	1.35	n/a	n/a	right	male
349.7571	0.5083	succesful_stop	1.4	n/a	n/a	right	male
353.2653	0.5084	go	n/a	1.829	correct	left	male
360.7901	0.5083	succesful_stop	1.45	n/a	n/a	right	female
365.29	0.5083	succesful_stop	1.5	n/a	n/a	right	female
368.8066	0.5083	go	n/a	1.729	correct	right	female
372.8148	0.5083	go	n/a	2.62	correct	right	female
378.3146	0.5083	succesful_stop	1.55	n/a	n/a	right	male
381.8228	0.5084	go	n/a	0.984	correct	right	female
384.8394	0.5083	go	n/a	n/a	miss	right	male
392.3475	0.5084	go	n/a	1.262	correct	right	female
399.364	0.5083	go	n/a	1.617	correct	right	female
403.8722	0.5083	go	n/a	1.442	correct	left	male
411.8886	0.5084	unsuccesful_stop	1.6	1.573	correct	right	female
416.3968	0.5084	succesful_stop	1.65	n/a	n/a	right	male
419.9051	0.5083	succesful_stop	1.7	n/a	n/a	right	male
423.4133	0.5083	go	n/a	2.638	correct	left	male
430.9381	0.5083	go	n/a	1.866	correct	right	female
434.9463	0.5083	go	n/a	1.693	correct	left	male
438.9545	0.5083	go	n/a	1.908	correct	right	female
442.9627	0.5084	go	n/a	n/a	miss	right	male
449.4709	0.5083	unsuccesful_stop	1.75	1.715	correct	right	female
453.4791	0.5083	go	n/a	2.13	correct	right	female
