onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
1.5653	0.5083	go	n/a	0.754	correct	left	male
4.0819	0.5083	go	n/a	0.959	correct	left	male
13.5901	0.5083	go	n/a	1.025	correct	right	female
16.5984	0.5083	go	n/a	0.915	correct	right	female
21.1066	0.5084	succesful_stop	0.2	n/a	n/a	right	male
24.6149	0.5083	go	n/a	1.16	correct	left	male
29.6231	0.5084	succesful_stop	0.25	n/a	n/a	right	female
33.1314	0.5083	go	n/a	1.095	correct	right	female
37.1397	0.5083	go	n/a	1.31	correct	right	female
40.648	0.5083	go	n/a	1.129	correct	left	male
45.1562	0.5083	go	n/a	1.182	correct	left	male
49.6645	0.5083	go	n/a	1.323	correct	left	male
52.1811	0.5083	succesful_stop	0.3	n/a	n/a	right	female
56.681	0.5083	go	n/a	1.278	correct	left	male
60.6893	0.5083	go	n/a	1.289	correct	left	male
64.6975	0.5084	go	n/a	0.942	correct	left	male
68.2142	0.5083	go	n/a	1.285	correct	left	male
73.7141	0.5083	go	n/a	1.119	correct	right	female
80.7306	0.5083	go	n/a	1.041	correct	left	male
84.2472	0.5083	go	n/a	1.944	correct	left	male
88.2555	0.5083	go	n/a	1.209	correct	right	female
92.7554	0.5083	go	n/a	0.995	correct	right	female
97.2636	0.5084	go	n/a	1.206	correct	left	male
100.2803	0.5083	go	n/a	1.089	correct	right	female
105.7802	0.5083	go	n/a	0.931	correct	right	female
108.7884	0.5084	succesful_stop	0.35	n/a	n/a	right	female
113.2967	0.5083	succesful_stop	0.4	n/a	n/a	right	male
117.805	0.5083	go	n/a	1.344	correct	right	female
121.8132	0.5083	succesful_stop	0.45	n/a	n/a	right	female
125.3215	0.5083	go	n/a	0.939	correct	left	male
128.8298	0.5083	go	n/a	1.354	correct	right	female
132.838	0.5084	go	n/a	1.179	incorrect	left	female
137.8463	0.5083	succesful_stop	0.5	n/a	n/a	right	male
141.8545	0.5084	go	n/a	1.363	correct	right	female
148.8711	0.5083	unsuccesful_stop	0.55	1.23	correct	right	female
157.3876	0.5083	go	n/a	1.095	correct	left	male
161.3959	0.5083	go	n/a	1.546	correct	left	male
165.4041	0.5084	go	n/a	1.112	correct	right	female
168.4207	0.5084	succesful_stop	0.6	n/a	n/a	right	female
172.429	0.5083	succesful_stop	0.65	n/a	n/a	right	male
181.4372	0.5083	go	n/a	1.663	correct	left	male
185.9454	0.5084	go	n/a	1.169	correct	right	female
189.4537	0.5083	succesful_stop	0.7	n/a	n/a	right	female
193.462	0.5083	succesful_stop	0.75	n/a	n/a	right	male
196.4786	0.5083	go	n/a	1.492	correct	left	male
