onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
1.0543	0.5084	go	n/a	0.868	correct	left	male
5.5625	0.5084	succesful_stop	0.2	n/a	n/a	right	female
9.5708	0.5083	succesful_stop	0.25	n/a	n/a	right	female
13.079	0.5083	go	n/a	0.962	correct	left	male
17.5872	0.5083	go	n/a	1.001	correct	right	female
21.5954	0.5083	go	n/a	1.027	correct	right	female
25.1036	0.5084	go	n/a	0.969	correct	right	female
28.1202	0.5083	go	n/a	0.942	correct	right	female
33.1201	0.5083	succesful_stop	0.3	n/a	n/a	right	male
36.6283	0.5083	go	n/a	0.846	correct	left	male
41.6365	0.5083	go	n/a	0.948	correct	left	male
44.6448	0.5083	go	n/a	1.291	correct	right	female
49.6529	0.5084	unsuccesful_stop	0.35	1.006	correct	left	male
53.1612	0.5083	go	n/a	1.124	correct	right	female
57.1694	0.5083	go	n/a	1.1	correct	left	male
61.1776	0.5083	succesful_stop	0.4	n/a	n/a	right	male
65.1858	0.5084	succesful_stop	0.45	n/a	n/a	right	female
68.6941	0.5083	go	n/a	1.032	correct	right	female
72.2106	0.5083	succesful_stop	0.5	n/a	n/a	right	male
81.2187	0.5083	go	n/a	0.982	correct	left	male
85.7269	0.5083	go	n/a	0.83	correct	right	female
88.2435	0.5083	go	n/a	0.892	correct	right	female
92.7434	0.5083	succesful_stop	0.55	n/a	n/a	right	female
96.7516	0.5083	go	n/a	1.146	correct	left	male
101.2598	0.5083	go	n/a	1.2	correct	right	female
105.268	0.5083	go	n/a	1.237	correct	left	male
108.2846	0.5083	unsuccesful_stop	0.6	1.328	correct	right	female
112.7845	0.5083	go	n/a	1.05	correct	left	male
116.301	0.5083	go	n/a	0.975	correct	left	male
121.3009	0.5083	succesful_stop	0.65	n/a	n/a	right	male
125.8091	0.5083	succesful_stop	0.7	n/a	n/a	right	male
128.8173	0.5084	go	n/a	1.111	correct	right	female
132.3339	0.5083	go	n/a	1.414	correct	right	female
137.3338	0.5083	succesful_stop	0.75	n/a	n/a	right	female
141.842	0.5083	go	n/a	1.04	correct	right	female
145.8502	0.5083	succesful_stop	0.8	n/a	n/a	right	male
149.3584	0.5083	go	n/a	0.971	correct	right	female
153.8666	0.5083	go	n/a	1.235	correct	left	male
157.3748	0.5084	unsuccesful_stop	0.85	1.017	correct	left	male
160.3914	0.5083	go	n/a	1.015	correct	right	female
164.3996	0.5084	succesful_stop	0.9	n/a	n/a	right	female
169.3995	0.5083	go	n/a	1.561	correct	right	female
173.9077	0.5083	succesful_stop	0.95	n/a	n/a	right	female
181.4242	0.5083	go	n/a	1.189	correct	left	male
185.4324	0.5083	go	n/a	1.293	correct	left	male
189.4406	0.5083	go	n/a	1.114	correct	left	male
197.457	0.5083	succesful_stop	1.0	n/a	n/a	right	female
201.4652	0.5084	go	n/a	1.29	correct	left	male
204.9735	0.5083	unsuccesful_stop	1.05	1.031	correct	left	male
208.9817	0.5083	succesful_stop	1.1	n/a	n/a	right	female
213.9899	0.5083	go	n/a	1.491	correct	right	female
216.9981	0.5083	unsuccesful_stop	1.15	1.25	correct	right	female
221.5063	0.5083	go	n/a	1.441	correct	right	female
226.0145	0.5084	go	n/a	1.413	correct	left	male
229.5228	0.5083	succesful_stop	1.2	n/a	n/a	right	male
233.031	0.5083	go	n/a	1.363	correct	right	female
237.0392	0.5083	go	n/a	1.54	correct	right	female
242.0474	0.5083	go	n/a	1.65	correct	left	male
244.564	0.5083	go	n/a	0.96	correct	left	male
253.0721	0.5083	go	n/a	1.566	correct	left	male
258.0803	0.5083	succesful_stop	1.25	n/a	n/a	right	female
265.0967	0.5084	go	n/a	1.278	correct	right	female
268.6133	0.5083	go	n/a	1.577	correct	left	male
274.1132	0.5083	go	n/a	1.369	correct	right	female
276.6297	0.5084	succesful_stop	1.3	n/a	n/a	right	male
281.1296	0.5083	go	n/a	1.202	correct	left	male
286.1378	0.5083	go	n/a	1.276	correct	left	male
292.6626	0.5083	go	n/a	1.894	correct	right	female
297.1625	0.5083	go	n/a	1.556	correct	right	female
301.6707	0.5083	go	n/a	1.576	correct	left	male
305.6789	0.5083	go	n/a	1.822	correct	right	female
309.1871	0.5084	go	n/a	1.013	correct	left	male
313.1954	0.5083	go	n/a	1.242	correct	left	male
318.2035	0.5084	unsuccesful_stop	1.35	1.434	correct	right	female
322.2118	0.5083	unsuccesful_stop	1.4	1.402	correct	left	male
325.72	0.5083	unsuccesful_stop	1.45	1.425	correct	left	male
328.7366	0.5083	go	n/a	2.062	correct	left	male
334.2364	0.5083	go	n/a	1.477	correct	right	female
337.2447	0.5083	go	n/a	1.462	correct	left	male
341.7529	0.5083	unsuccesful_stop	1.5	1.299	correct	left	male
345.7611	0.5083	unsuccesful_stop	1.55	1.586	correct	left	male
350.2693	0.5083	unsuccesful_stop	1.6	1.732	correct	right	female
353.2775	0.5084	go	n/a	0.849	incorrect	right	male
358.2857	0.5083	unsuccesful_stop	1.65	0.898	correct	right	female
361.794	0.5083	unsuccesful_stop	1.7	0.892	correct	right	female
368.8188	0.5083	go	n/a	0.803	correct	left	male
373.3186	0.5083	go	n/a	0.755	correct	left	male
376.8352	0.5083	unsuccesful_stop	1.75	1.009	correct	left	male
384.8516	0.5083	go	n/a	0.863	correct	left	male
388.8598	0.5084	go	n/a	1.104	correct	right	female
393.3597	0.5083	unsuccesful_stop	1.8	0.892	correct	left	male
398.3679	0.5083	go	n/a	1.267	correct	right	female
401.8761	0.5084	go	n/a	1.794	correct	left	male
404.8927	0.5083	go	n/a	1.776	correct	right	female
409.3926	0.5083	go	n/a	1.63	correct	right	female
413.9008	0.5083	go	n/a	1.599	correct	right	female
417.909	0.5083	go	n/a	1.181	correct	left	male
421.4172	0.5084	go	n/a	1.335	correct	right	female
425.4255	0.5083	go	n/a	1.496	correct	right	female
429.4337	0.5083	go	n/a	2.388	correct	right	female
