onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
1.0718	0.5083	succesful_stop	0.2	n/a	n/a	right	male
4.0884	0.5083	succesful_stop	0.25	n/a	n/a	right	female
8.0966	0.5083	succesful_stop	0.3	n/a	n/a	right	female
13.0965	0.5083	go	n/a	1.149	correct	left	male
16.1131	0.5084	go	n/a	0.906	correct	left	male
24.6213	0.5083	succesful_stop	0.35	n/a	n/a	right	male
29.1295	0.5084	go	n/a	0.942	correct	left	male
32.6378	0.5083	go	n/a	0.751	correct	left	male
37.146	0.5084	go	n/a	0.905	correct	right	female
40.1626	0.5084	go	n/a	0.851	correct	left	male
44.6626	0.5083	go	n/a	0.837	correct	left	male
48.6708	0.5083	go	n/a	0.985	correct	left	male
52.6791	0.5083	succesful_stop	0.4	n/a	n/a	right	female
56.6873	0.5083	go	n/a	0.912	correct	left	male
64.7038	0.5083	succesful_stop	0.45	n/a	n/a	right	female
68.2204	0.5083	go	n/a	1.039	correct	right	female
73.2203	0.5083	succesful_stop	0.5	n/a	n/a	right	male
76.2369	0.5083	go	n/a	0.984	correct	right	female
81.7368	0.5083	succesful_stop	0.55	n/a	n/a	right	male
85.2451	0.5083	go	n/a	1.122	correct	left	male
88.7533	0.5084	succesful_stop	0.6	n/a	n/a	right	female
93.7616	0.5083	unsuccesful_stop	0.65	0.716	correct	left	male
96.7698	0.5084	succesful_stop	0.7	n/a	n/a	right	male
104.7864	0.5083	succesful_stop	0.75	n/a	n/a	right	male
109.2946	0.5083	succesful_stop	0.8	n/a	n/a	right	male
112.3112	0.5083	go	n/a	1.233	correct	left	male
116.3195	0.5083	unsuccesful_stop	0.85	1.021	correct	right	female
121.3194	0.5083	go	n/a	1.374	correct	right	female
125.8276	0.5083	succesful_stop	0.9	n/a	n/a	right	female
129.3359	0.5083	succesful_stop	0.95	n/a	n/a	right	male
132.8441	0.5083	go	n/a	1.792	correct	right	female
137.3524	0.5083	go	n/a	1.593	correct	right	female
140.8606	0.5083	go	n/a	1.451	correct	left	male
145.3689	0.5083	succesful_stop	1.0	n/a	n/a	right	male
148.8771	0.5084	succesful_stop	1.05	n/a	n/a	right	female
153.3854	0.5083	go	n/a	1.531	correct	left	male
156.402	0.5083	succesful_stop	1.1	n/a	n/a	right	male
164.4185	0.5083	go	n/a	1.652	correct	right	female
168.9184	0.5083	succesful_stop	1.15	n/a	n/a	right	female
172.435	0.5083	go	n/a	1.801	correct	left	male
177.9349	0.5083	go	n/a	1.448	correct	right	female
180.4515	0.5083	go	n/a	1.626	correct	right	female
184.4598	0.5083	go	n/a	1.726	correct	right	female
189.9596	0.5084	go	n/a	1.299	correct	right	female
193.9679	0.5083	succesful_stop	1.2	n/a	n/a	right	male
197.4762	0.5083	go	n/a	1.62	incorrect	left	female
200.4928	0.5083	go	n/a	1.787	correct	right	female
205.4927	0.5083	go	n/a	1.5	correct	left	male
208.5093	0.5083	go	n/a	1.556	correct	left	male
212.5175	0.5083	go	n/a	1.498	correct	left	male
218.0174	0.5083	go	n/a	1.252	correct	left	male
222.0257	0.5083	go	n/a	1.322	correct	left	male
226.0339	0.5083	unsuccesful_stop	1.25	1.426	correct	right	female
229.5422	0.5083	go	n/a	1.887	correct	right	female
232.5588	0.5083	go	n/a	1.949	correct	left	male
237.0587	0.5083	go	n/a	1.978	correct	right	female
245.0752	0.5083	go	n/a	1.6	correct	left	male
252.6001	0.5083	succesful_stop	1.3	n/a	n/a	right	male
256.6083	0.5083	succesful_stop	1.35	n/a	n/a	right	female
260.6166	0.5083	go	n/a	2.333	correct	right	female
264.6248	0.5083	go	n/a	1.58	correct	left	male
269.1247	0.5083	succesful_stop	1.4	n/a	n/a	right	male
274.1329	0.5084	go	n/a	2.158	correct	right	female
278.1412	0.5083	succesful_stop	1.45	n/a	n/a	right	male
281.1495	0.5083	go	n/a	2.004	incorrect	left	female
286.1577	0.5083	go	n/a	2.087	correct	right	female
294.1742	0.5083	go	n/a	1.924	correct	right	female
301.6907	0.5084	go	n/a	1.996	correct	right	female
306.199	0.5083	succesful_stop	1.5	n/a	n/a	right	female
308.7156	0.5083	go	n/a	2.414	correct	right	female
314.2155	0.5083	go	n/a	2.469	correct	left	male
316.7321	0.5083	unsuccesful_stop	1.55	0.98	correct	right	female
322.232	0.5083	unsuccesful_stop	1.6	1.526	correct	left	male
325.2403	0.5083	go	n/a	1.796	correct	right	female
330.2485	0.5083	go	n/a	1.97	correct	left	male
332.7651	0.5083	go	n/a	1.592	correct	left	male
338.265	0.5083	go	n/a	1.66	correct	right	female
340.7816	0.5083	go	n/a	1.72	correct	right	female
344.7899	0.5083	unsuccesful_stop	1.65	1.661	correct	left	male
348.7981	0.5083	succesful_stop	1.7	n/a	n/a	right	female
352.8064	0.5083	go	n/a	2.186	correct	right	female
357.8063	0.5083	go	n/a	2.435	correct	left	male
361.8145	0.5083	succesful_stop	1.75	n/a	n/a	right	male
365.8228	0.5083	succesful_stop	1.8	n/a	n/a	right	female
369.831	0.5083	go	n/a	n/a	miss	right	female
376.3476	0.5083	go	n/a	1.987	correct	left	male
379.8558	0.5083	unsuccesful_stop	1.85	1.465	correct	right	female
383.3641	0.5083	go	n/a	1.948	correct	right	female
387.8723	0.5083	go	n/a	1.971	correct	left	male
390.8889	0.5084	go	n/a	2.054	correct	left	male
395.3888	0.5084	go	n/a	2.412	correct	right	female
400.3971	0.5083	go	n/a	2.153	correct	left	male
402.9137	0.5083	go	n/a	2.087	correct	left	male
411.9218	0.5084	go	n/a	2.161	correct	right	female
414.9385	0.5083	go	n/a	2.051	correct	right	female
420.4383	0.5084	go	n/a	2.223	correct	right	female
423.9466	0.5083	unsuccesful_stop	1.9	2.019	correct	right	female
428.4548	0.5084	go	n/a	n/a	miss	right	male
432.9798	0.5083	go	n/a	2.477	correct	right	female
437.4797	0.5083	unsuccesful_stop	1.95	1.847	correct	right	female
