onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
1.54	0.5083	succesful_stop	0.2	n/a	n/a	right	female
8.0649	0.5083	unsuccesful_stop	0.25	0.889	correct	right	female
12.0731	0.5084	go	n/a	0.633	correct	left	male
16.5731	0.5083	go	n/a	0.783	correct	right	female
20.0897	0.5083	go	n/a	1.047	correct	right	female
25.0896	0.5083	go	n/a	0.859	correct	right	female
28.5979	0.5083	go	n/a	0.734	correct	left	male
32.1145	0.5083	succesful_stop	0.3	n/a	n/a	right	male
36.6144	0.5084	go	n/a	0.998	correct	right	female
40.1311	0.5083	go	n/a	0.852	correct	left	male
44.1393	0.5084	succesful_stop	0.35	n/a	n/a	right	female
48.6393	0.5083	go	n/a	0.623	correct	left	male
53.1475	0.5084	go	n/a	1.076	correct	right	female
57.1558	0.5083	succesful_stop	0.4	n/a	n/a	right	female
60.6641	0.5083	go	n/a	0.713	correct	left	male
65.1724	0.5083	go	n/a	1.189	correct	left	male
68.6806	0.5084	succesful_stop	0.45	n/a	n/a	right	female
73.1889	0.5083	go	n/a	0.69	correct	left	male
77.6972	0.5083	go	n/a	0.595	correct	left	male
81.2055	0.5083	unsuccesful_stop	0.5	0.802	correct	left	male
84.7137	0.5084	succesful_stop	0.55	n/a	n/a	right	male
89.722	0.5083	go	n/a	1.029	correct	right	female
93.2303	0.5083	go	n/a	0.968	correct	left	male
97.7385	0.5084	go	n/a	1.223	correct	right	female
100.7468	0.5084	go	n/a	0.978	correct	right	female
104.2635	0.5083	go	n/a	0.768	correct	right	female
108.2717	0.5083	succesful_stop	0.6	n/a	n/a	right	female
112.7717	0.5083	go	n/a	0.684	correct	right	female
116.2883	0.5083	unsuccesful_stop	0.65	0.917	correct	right	female
120.7882	0.5083	go	n/a	0.728	correct	left	male
124.3048	0.5083	go	n/a	0.876	correct	right	female
129.8047	0.5084	go	n/a	0.991	correct	right	female
133.313	0.5083	go	n/a	0.831	correct	left	male
136.8213	0.5083	unsuccesful_stop	0.7	0.768	correct	left	male
141.3296	0.5083	unsuccesful_stop	0.75	0.698	correct	right	female
144.8379	0.5083	go	n/a	0.715	correct	left	male
148.8461	0.5083	go	n/a	0.54	correct	left	male
152.8544	0.5083	go	n/a	0.946	correct	right	female
157.8627	0.5083	go	n/a	0.581	correct	right	female
161.3709	0.5084	unsuccesful_stop	0.8	0.732	correct	right	female
165.8792	0.5083	go	n/a	0.651	correct	right	female
168.3958	0.5084	go	n/a	0.723	correct	right	female
173.8958	0.5083	unsuccesful_stop	0.85	0.604	correct	right	female
181.9123	0.5083	succesful_stop	0.9	n/a	n/a	right	female
184.4289	0.5084	go	n/a	0.712	correct	left	male
189.9289	0.5083	go	n/a	0.834	incorrect	left	female
192.9371	0.5084	unsuccesful_stop	0.95	1.192	correct	right	female
196.4538	0.5083	succesful_stop	1.0	n/a	n/a	right	male
205.962	0.5083	unsuccesful_stop	1.05	0.818	incorrect	left	female
208.4786	0.5083	go	n/a	0.747	correct	left	male
213.9785	0.5083	go	n/a	0.791	correct	left	male
220.9951	0.5083	go	n/a	0.846	correct	left	male
225.0033	0.5084	go	n/a	0.955	correct	right	female
229.5116	0.5083	go	n/a	0.868	correct	left	male
234.0199	0.5083	go	n/a	0.882	correct	right	female
238.0281	0.5084	unsuccesful_stop	1.1	1.019	correct	right	female
241.5364	0.5083	unsuccesful_stop	1.1	1.036	correct	left	male
246.0447	0.5083	unsuccesful_stop	1.05	0.787	correct	left	male
250.053	0.5083	go	n/a	0.569	correct	right	female
253.5612	0.5084	go	n/a	0.62	correct	left	male
257.5695	0.5083	go	n/a	0.584	correct	left	male
262.0778	0.5083	go	n/a	0.815	correct	right	female
269.5943	0.5084	go	n/a	0.797	correct	left	male
274.1026	0.5083	go	n/a	0.996	correct	right	female
277.6109	0.5083	go	n/a	0.885	correct	right	female
280.6275	0.5083	go	n/a	0.856	correct	right	female
286.1274	0.5084	unsuccesful_stop	1.0	1.025	correct	right	female
288.6441	0.5083	unsuccesful_stop	0.95	0.91	incorrect	left	female
