onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.6457	0.5083	go	n/a	0.968	incorrect	right	male
4.6539	0.5083	go	n/a	0.677	correct	left	male
8.1705	0.5083	go	n/a	0.757	correct	right	female
13.6703	0.5083	succesful_stop	0.2	n/a	n/a	right	female
17.6785	0.5083	go	n/a	0.687	correct	left	male
20.6868	0.5083	go	n/a	0.521	correct	left	male
24.2033	0.5083	succesful_stop	0.25	n/a	n/a	right	male
29.7032	0.5083	succesful_stop	0.3	n/a	n/a	right	female
32.7114	0.5083	go	n/a	0.736	correct	left	male
37.7196	0.5083	go	n/a	0.62	correct	left	male
41.2278	0.5083	go	n/a	0.703	correct	left	male
45.736	0.5083	go	n/a	0.649	correct	right	female
49.2443	0.5083	succesful_stop	0.35	n/a	n/a	right	male
53.2525	0.5083	succesful_stop	0.4	n/a	n/a	right	male
56.7607	0.5083	go	n/a	0.603	correct	left	male
61.7689	0.5083	go	n/a	0.753	correct	right	female
64.7771	0.5083	go	n/a	0.688	correct	right	female
69.2853	0.5084	go	n/a	0.845	incorrect	right	male
72.3019	0.5083	go	n/a	0.648	correct	left	male
76.3101	0.5083	go	n/a	0.767	correct	right	female
80.3183	0.5084	go	n/a	0.677	correct	left	male
85.3182	0.5083	go	n/a	0.781	correct	right	female
88.3348	0.5083	go	n/a	0.636	correct	left	male
92.8346	0.5084	go	n/a	0.628	correct	left	male
96.3512	0.5083	go	n/a	0.663	correct	right	female
101.3511	0.5083	go	n/a	0.602	correct	right	female
104.8593	0.5083	go	n/a	0.624	correct	right	female
109.3675	0.5083	unsuccesful_stop	0.45	0.589	correct	left	male
112.3841	0.5083	succesful_stop	0.5	n/a	n/a	right	female
117.8839	0.5083	go	n/a	1.227	correct	right	female
121.3921	0.5084	go	n/a	0.65	correct	left	male
125.9003	0.5084	go	n/a	1.332	correct	right	female
128.9086	0.5083	go	n/a	0.735	correct	left	male
132.9168	0.5083	go	n/a	0.909	correct	right	female
137.925	0.5083	go	n/a	0.941	correct	right	female
144.4498	0.5083	go	n/a	0.711	correct	left	male
149.4497	0.5083	unsuccesful_stop	0.55	0.581	correct	right	female
157.9661	0.5083	succesful_stop	0.6	n/a	n/a	right	male
161.9743	0.5083	succesful_stop	0.65	n/a	n/a	right	female
164.4909	0.5083	succesful_stop	0.7	n/a	n/a	right	female
169.4907	0.5084	go	n/a	1.142	correct	left	male
173.9989	0.5084	go	n/a	1.141	incorrect	left	female
176.5155	0.5083	go	n/a	1.013	correct	left	male
181.0154	0.5083	go	n/a	0.792	correct	left	male
186.0236	0.5083	unsuccesful_stop	0.75	0.741	correct	left	male
190.0318	0.5083	go	n/a	1.083	correct	left	male
193.54	0.5084	go	n/a	1.255	correct	right	female
196.5566	0.5083	go	n/a	1.171	correct	right	female
201.5565	0.5083	go	n/a	0.956	correct	left	male
205.5647	0.5083	go	n/a	1.07	correct	right	female
209.5729	0.5083	succesful_stop	0.8	n/a	n/a	right	male
213.5811	0.5083	go	n/a	1.069	correct	left	male
218.0893	0.5083	go	n/a	1.093	correct	right	female
220.6059	0.5083	go	n/a	1.053	correct	right	female
225.1058	0.5083	go	n/a	1.119	incorrect	right	male
229.114	0.5083	go	n/a	1.185	correct	right	female
233.1222	0.5083	go	n/a	1.093	correct	left	male
238.1304	0.5083	unsuccesful_stop	0.85	1.196	correct	left	male
241.1386	0.5084	unsuccesful_stop	0.9	1.053	correct	left	male
245.6468	0.5084	succesful_stop	0.95	n/a	n/a	right	female
248.6634	0.5083	succesful_stop	1.0	n/a	n/a	right	female
254.1633	0.5083	succesful_stop	1.05	n/a	n/a	right	female
261.1797	0.5083	go	n/a	1.571	correct	right	female
265.6879	0.5083	succesful_stop	1.1	n/a	n/a	right	male
