onset	duration	trial_type	stop_signal_delay	response_time	response_accuracy	response_hand	sex
0.5598	0.5084	succesful_stop	0.2	n/a	n/a	right	male
5.0681	0.5083	succesful_stop	0.25	n/a	n/a	right	male
8.5764	0.5083	succesful_stop	0.3	n/a	n/a	right	female
12.093	0.5083	go	n/a	0.775	correct	left	male
16.1013	0.5083	go	n/a	0.708	correct	right	female
21.1012	0.5083	go	n/a	0.513	correct	left	male
24.6094	0.5084	go	n/a	0.808	correct	left	male
28.126	0.5084	go	n/a	0.48	correct	right	female
33.626	0.5083	go	n/a	0.645	correct	left	male
36.6342	0.5084	go	n/a	0.849	correct	left	male
41.6425	0.5083	go	n/a	0.751	correct	right	female
49.159	0.5083	go	n/a	0.709	correct	right	female
52.6673	0.5083	go	n/a	0.651	correct	right	female
57.1756	0.5083	succesful_stop	0.35	n/a	n/a	right	male
61.1838	0.5083	go	n/a	0.916	correct	left	male
64.2004	0.5084	go	n/a	0.682	correct	left	male
68.2087	0.5083	go	n/a	0.664	correct	right	female
73.2086	0.5083	go	n/a	0.608	correct	right	female
77.2169	0.5083	go	n/a	0.766	correct	right	female
84.2418	0.5083	go	n/a	0.868	correct	right	female
89.2417	0.5083	go	n/a	0.8	correct	right	female
93.2499	0.5084	succesful_stop	0.4	n/a	n/a	right	female
96.7582	0.5083	succesful_stop	0.45	n/a	n/a	right	female
101.7665	0.5083	succesful_stop	0.5	n/a	n/a	right	female
104.2831	0.5083	succesful_stop	0.55	n/a	n/a	right	female
109.783	0.5083	go	n/a	0.639	correct	right	female
113.7913	0.5083	go	n/a	0.742	correct	right	female
116.3079	0.5083	go	n/a	0.755	correct	left	male
120.8078	0.5083	go	n/a	0.762	correct	right	female
128.3327	0.5083	succesful_stop	0.6	n/a	n/a	right	female
133.8326	0.5083	go	n/a	0.792	correct	left	male
136.8409	0.5083	unsuccesful_stop	0.65	0.79	correct	right	female
141.3491	0.5084	unsuccesful_stop	0.7	0.828	correct	right	female
144.8574	0.5083	go	n/a	0.885	correct	right	female
148.8657	0.5083	go	n/a	0.925	correct	right	female
153.8739	0.5083	go	n/a	0.84	correct	left	male
156.3905	0.5084	unsuccesful_stop	0.75	0.811	correct	left	male
160.3988	0.5083	go	n/a	0.924	correct	right	female
165.3987	0.5084	go	n/a	0.806	correct	left	male
169.407	0.5083	go	n/a	0.863	correct	right	female
172.4236	0.5083	go	n/a	0.898	correct	left	male
176.4319	0.5083	go	n/a	1.004	correct	right	female
180.9318	0.5083	go	n/a	0.773	correct	right	female
188.9483	0.5084	unsuccesful_stop	0.8	0.946	correct	right	female
193.9566	0.5083	go	n/a	0.959	correct	left	male
196.4732	0.5083	go	n/a	0.897	correct	right	female
201.4731	0.5083	unsuccesful_stop	0.85	0.794	correct	left	male
204.9814	0.5083	go	n/a	0.921	correct	right	female
209.4896	0.5084	unsuccesful_stop	0.9	0.862	correct	left	male
212.5063	0.5083	unsuccesful_stop	0.95	1.032	correct	right	female
218.0062	0.5083	go	n/a	1.301	correct	right	female
222.0144	0.5084	go	n/a	0.985	correct	left	male
224.5311	0.5083	go	n/a	1.253	correct	right	female
229.531	0.5083	go	n/a	1.006	correct	right	female
234.0392	0.5084	unsuccesful_stop	1.0	0.95	correct	left	male
236.5559	0.5083	go	n/a	1.241	correct	right	female
241.0558	0.5083	go	n/a	0.812	correct	right	female
245.0641	0.5083	unsuccesful_stop	1.05	0.958	correct	left	male
253.5806	0.5083	go	n/a	1.081	correct	left	male
256.5972	0.5083	unsuccesful_stop	1.1	0.906	correct	right	female
